"uniprotswissprot","hgnc_symbol"
"O14974","PPP1R12A"
"O15027","SEC16A"
"O43166","SIPA1L1"
"O43399","TPD52L2"
"O60832","DKC1"
"O75962","TRIO"
"P05783","KRT18"
"P08559","PDHA1"
"P08670","VIM"
"P12270","TPR"
"P21333","FLNA"
"P22234","PAICS"
"P27816","MAP4"
"P31948","STIP1"
"P40222","TXLNA"
"P42167","TMPO"
"P46821","MAP1B"
"P50552","VASP"
"P52948","NUP98"
"P53350","PLK1"
"P61978","HNRNPK"
"Q01082","SPTBN1"
"Q01518","CAP1"
"Q08499","PDE4D"
"Q09666","AHNAK"
"Q12802","AKAP13"
"Q12965","MYO1E"
"Q13045","FLII"
"Q15061","WDR43"
"Q15149","PLEC"
"Q15942","ZYX"
"Q32MZ4","LRRFIP1"
"Q5JVS0","HABP4"
"Q68EM7","ARHGAP17"
"Q8IVF2","AHNAK2"
"Q8IWA0","WDR75"
"Q8IY81","FTSJ3"
"Q8NE71","ABCF1"
"Q8TAP8","PPP1R35"
"Q8WWM7","ATXN2L"
"Q8WX93","PALLD"
"Q96AC1","FERMT2"
"Q96LW4","PRIMPOL"
"Q99700","ATXN2"
"Q9HAW4","CLSPN"
"Q9NR12","PDLIM7"
"Q9UBK8","MTRR"
"Q9UPN3","MACF1"
"Q9UPT8","ZC3H4"
"Q9Y580","RBM7"
